Company/Brand,Sector,Stage,Amount,What_it_does,Founded,Stage_of_funding
TheCollegeFever,"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing",Seed funding,250000.0,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",2018.0,Validation
Happy Cow Dairy,"Agriculture, Farming",Seed funding,584698.0,A startup which aggregates milk from dairy farmers in rural Maharashtra.,2018.0,Validation
MyLoanCare,"Credit, Financial Services, Lending, Marketplace",Series A,950135.0,Leading Online Loans Marketplace in India,2018.0,Early Traction
PayMe India,"Financial Services, FinTech",Seed funding,2000000.0,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,2018.0,Validation
Eunimart,"E-Commerce Platforms, Retail, SaaS",Seed funding,584698.0,Eunimart is a one stop solution for merchants to create a difference by selling globally.,2018.0,Validation
Hasura,"Cloud Infrastructure, PaaS, SaaS",Seed funding,1600000.0,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",2018.0,Validation
Tripshelf,"Internet, Leisure, Marketplace",Seed funding,233879.0,Tripshelf is an online market place for holiday packages.,2018.0,Validation
Hyperdata.IO,Market Research,Seed funding,730873.0,Hyperdata combines advanced machine learning with human intelligence.,2018.0,Validation
Freightwalla,"Information Services, Information Technology",Seed funding,584698.0,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,2018.0,Validation
Microchip Payments,Mobile Payments,Seed funding,584698.0,Microchip payments is a mobile-based payment application and point-of-sale device,2018.0,Validation
BizCrum Infotech Pvt. Ltd.,"B2B, Shoes",Seed funding,584698.0,Building Transactionary B2B Marketplaces,2018.0,Validation
Emojifi,Internet,Seed funding,584698.0,"Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",2018.0,Validation
Flock,"Apps, Collaboration, Developer Platform, Enterprise Software, Messaging, Productivity Tools, Video Chat",Seed funding,584698.0,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,2018.0,Validation
Freshboxx,Food Delivery,Seed funding,584698.0,"Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",2018.0,Validation
